date,equity,positions,cash
20230627,20277611.12,5,9449871.63
20230628,20085214.42,5,9754030.31
20230629,20090268.19,5,9754997.98
20230630,20263782.55,5,9755965.73
20230703,20236341.79,5,9756933.59
20230704,20323548.04,5,9757901.54
20230705,20355673.67,5,9758869.58
20230706,20204024.63,5,9759837.72
20230707,20176460.35,5,9760805.96
20230710,20140415.61,5,9761774.30
20230711,20197199.12,5,9762742.73
20230712,20146010.11,5,9763711.25
20230713,20231204.64,5,9764679.87
20230714,20201370.74,5,9765648.59
20230717,20053060.62,5,9766617.41
20230718,20014408.81,5,9767586.32
20230719,19993198.93,5,9768555.32
20230720,19931047.32,5,9769524.43
20230721,19844418.00,5,9770493.63
20230724,19835670.51,4,11345808.19
20230725,19919173.65,4,11346933.77
20230726,19939201.07,4,11348059.46
20230727,19903238.26,5,9348986.84
20230728,20173819.63,5,9349914.32
20230731,19979495.76,5,9350841.89
20230801,19890037.44,5,9351769.56
20230802,19805117.86,5,9352697.31
20230803,19893545.09,5,9353625.16
20230804,19858624.83,5,9354553.10
20230807,19724242.82,5,9639757.91
20230808,19690991.23,5,9640714.23
20230809,19461418.47,5,9641670.65
20230810,19527314.20,5,9642627.17
20230811,19282553.88,5,9643583.78
20230828,19117985.18,4,11146398.06
20230829,19124285.90,4,11147503.85
20230830,19058665.83,5,9148411.34
20230831,18996210.33,5,9149318.92
20230901,19054717.17,5,9150226.59
20230904,19019142.16,5,9151134.36
20230905,19069614.12,5,9152042.21
20230906,18964206.02,5,9152950.15
20230907,18917881.01,5,9153858.18
20230908,18957233.54,5,9154766.30
20230911,19050840.73,5,9155674.51
20230912,19078436.72,5,9156582.81
20230913,19048791.71,5,9157491.20
20230914,19103614.98,5,9158399.68
20230915,19060590.95,5,9159308.25
20230918,19109454.87,5,9160216.92
20230919,19074084.81,5,9161125.67
20230920,19027016.87,4,10800627.85
20230921,18957686.51,4,10801699.34
20230922,19061367.33,5,8802572.53
20230925,19087685.59,5,8803445.80
20230926,19114787.86,5,8804319.16
20230927,19163797.29,5,8805192.60
20230928,19245579.67,5,8806066.13
20231009,19219430.10,5,8806939.75
20231010,19055480.79,5,8807813.45
20231011,19027400.77,5,8808687.25
20231012,18932689.81,5,8809561.12
20231013,18819568.94,5,8810435.09
20231016,18909940.24,5,8811309.14
20231017,19034010.14,5,8812183.28
20231018,19057289.90,5,8813057.50
20231019,18757281.13,5,8813931.81
20231020,18702076.35,5,8814806.21
20231023,18733295.27,5,8815680.70
20231024,18835425.83,5,8816555.27
20231025,18611826.83,5,8817429.93
20231026,18660417.80,5,8818304.67
20231027,18547844.67,5,8467014.88
20231030,18657838.41,5,8467854.86
20231031,18694600.21,5,8468694.92
20231101,18665815.25,5,8469535.07
20231102,18509012.55,5,8470375.30
20231103,18728700.89,5,8471215.62
20231106,18801462.76,5,8472056.02
20231107,18864915.09,5,8472896.50
20231108,18881194.66,5,8473737.06
20231109,18952002.63,5,8474577.71
20231110,18931159.61,5,8475418.44
20231113,18848053.31,5,8476259.26
20231114,18861712.43,5,8477100.16
20231115,18890143.69,5,8477941.14
20231116,18830961.93,5,8478782.20
20231117,18963647.77,5,8479623.35
20231120,19025442.03,5,8480464.59
20231121,18851297.34,5,8481305.90
20231122,18748167.96,5,8482147.30
20231123,18807026.90,5,8482988.78
20231124,18714218.48,5,8483830.35
20231127,18711443.77,5,8484672.00
20231128,18869074.34,5,8485513.73
20231129,18854709.74,5,8486355.55
20231130,18940486.21,5,8487197.45
20231201,19012099.88,5,8488039.44
20231204,18991613.86,5,8488881.50
20231205,18807853.82,5,8489723.65
20231206,18727964.60,5,8490565.89
20231207,18707628.27,5,8491408.21
20231208,18682038.97,5,8492250.61
20231211,18980873.28,5,8493093.09
20231212,18958966.00,5,8493935.66
20231213,18890964.45,5,8494778.31
20231214,18819690.73,5,8495621.05
20231215,18741177.02,5,8496463.87
20231218,18832649.70,5,8497306.77
20231219,18945737.47,5,8498149.76
20231220,18848254.24,5,8498992.83
20231221,18769524.38,5,8499835.98
20231222,18795077.42,5,8500679.22
20231225,18799875.32,5,8382811.23
20240110,18253747.74,5,8383642.85
20240111,18274381.33,5,8384474.56
20240112,18270580.51,5,8385306.36
20240115,18294142.26,5,8386138.23
20240116,18305185.41,5,8386970.19
20240117,18013797.30,4,9688320.40
20240118,18176902.48,5,7689083.13
20240119,17819779.00,5,7689845.94
20240122,17691861.63,5,7231961.21
20240123,18085750.78,5,7232678.67
20240124,18214522.68,5,7233396.20
20240125,18351141.72,5,7234113.80
20240126,18126768.04,5,7234831.47
20240129,17597452.91,5,7235549.21
20240130,17495142.01,5,6847097.63
20240131,17466777.75,5,6847776.90
20240201,17686687.12,5,6848456.25
20240202,17770280.61,5,6849135.66
20240205,18061635.93,5,6849815.13
20240206,18515042.88,5,6850494.68
20240207,18623582.41,5,6851174.29
20240208,18486038.22,5,6851853.97
20240219,19292433.03,5,6852533.72
20240220,19209440.73,5,6853213.53
20240221,19107003.40,5,6853893.42
20240222,19301048.42,5,6854573.37
20240223,19143453.25,5,6855253.38
20240226,18836865.70,5,6855933.47
20240227,19283709.90,5,6856613.62
20240228,18992103.90,5,6857293.84
20240229,19338956.35,5,6857974.13
20240301,19418869.10,5,6858654.48
20240304,19654802.21,5,6859334.90
20240305,19601569.00,5,6860015.39
20240306,19575624.50,5,6860695.95
20240307,19600553.83,5,6861376.58
20240308,19986166.07,5,6862057.27
20240311,19814089.89,5,6862738.03
20240312,19367749.15,5,6863418.85
20240313,19470964.67,5,6864099.75
20240314,19700570.88,5,6864780.71
20240315,19998271.11,5,6865461.74
20240318,20109616.49,5,6866142.84
20240319,20165272.09,5,6866824.00
20240327,19890701.97,5,6867505.24
20240328,19919445.93,5,6868186.54
20240329,20100496.40,5,6868867.90
20240401,20271547.70,5,6869549.34
20240402,20237086.14,5,6870230.84
20240403,20185919.90,5,6870912.41
20240408,20311040.51,5,6871594.05
20240409,20198595.22,5,6872275.76
20240410,20005861.48,5,6872957.53
20240411,20080873.65,5,6873639.37
20240412,20467671.30,5,6874321.28
20240415,20702607.94,5,6875003.26
20240416,20552617.95,5,6875685.30
20240417,20849845.32,5,6876367.41
20240418,20659160.18,5,6877049.59
20240419,20514867.45,5,6877731.84
20240422,20240197.79,5,6878414.15
20240423,20156043.49,5,6879096.54
20240424,20078322.15,5,6879778.99
20240425,20071463.60,5,6880461.50
20240426,20355926.53,5,6881144.09
20240429,20477369.06,5,6881826.74
20240430,20531818.22,5,6882509.46
20240506,20307176.46,5,6883192.25
20240507,20236745.87,5,6883875.11
20240508,20270272.47,5,6884558.03
20240509,20413614.82,5,6885241.02
20240510,20341723.46,5,6885924.08
20240513,20129219.97,5,7781309.81
20240514,20105459.72,5,7782081.76
20240515,20071411.80,5,7782853.79
20240516,20120347.46,5,7783625.90
20240517,20215438.31,5,7784398.09
20240520,20311687.07,5,7785170.35
20240521,20406352.53,5,7785942.69
20240522,20567544.70,5,7786715.10
20240523,20612330.89,5,7787487.59
20240524,20272119.96,5,7788260.16
20240527,20707359.73,5,7789032.81
20240528,20925458.07,5,7789805.53
20240529,20983407.37,5,7790578.33
20240530,20788775.93,5,7791351.20
20240531,20632533.41,5,7792124.15
20240603,20797302.69,5,7792897.18
20240604,20956179.62,5,7793670.29
20240605,20843410.98,5,7794443.47
20240606,21066414.24,5,7795216.72
20240607,21021098.06,5,7795990.06
20240611,20905584.57,5,7796763.47
20240612,21055394.73,5,7797536.96
20240613,21088408.11,5,7798310.53
20240614,20981536.19,5,7799084.17
20240617,20982110.57,5,7799857.89
20240618,20966870.79,5,7800631.68
20240619,20876361.41,5,7801405.55
20240620,20970298.34,5,7802179.50
20240621,20907114.24,5,7802953.53
20240624,20777574.64,5,7803727.63
20240625,20702894.00,5,7804501.81
20240626,20789884.36,5,7805276.07
20240627,20580522.16,4,9744308.31
20240628,20799211.51,5,7745076.60
20240701,21022859.32,5,7745844.96
20240702,20962570.64,5,7746613.39
20240703,20864964.76,5,7747381.91
20240704,20916744.92,5,7748150.50
20240705,20815649.60,5,7748919.16
20240708,21067779.53,5,7749687.90
20240709,21602472.84,5,7750456.72
20240710,21452463.71,5,7751225.62
20240711,21563950.60,5,7751994.59
20240712,21563898.21,5,7752763.63
20240715,21860232.78,5,7753532.76
20240716,22225392.27,5,7754301.96
20240717,21688739.41,5,7755071.23
20240718,21727679.61,5,7755840.59
20240719,21629644.98,5,7756610.01
20240722,21651231.89,5,7757379.52
20240723,21332142.07,5,7758149.10
20240724,21330990.92,5,7758918.76
20240725,21082816.87,4,10142424.12
20240726,21092111.64,4,10143430.32
20240729,21082024.02,4,10144436.61
20240730,20976819.50,5,8145244.59
20240731,21117880.61,5,8146052.65
20240801,21006685.29,5,8146860.79
20240802,20787340.78,5,8147669.01
20240805,20141082.07,5,8203842.39
20240806,20243656.26,5,8204656.26
20240807,20237123.58,5,8205470.22
20240808,20190525.83,5,8206284.25
20240809,20138362.07,5,8207098.37
20240812,20055338.64,5,8207912.56
20240813,20058726.89,5,8208726.84
20240814,19962092.55,5,8209541.20
20240815,20095634.62,5,8210355.64
20240816,20144406.94,5,8211170.16
20240819,20086956.48,5,8211984.76
20240820,19944910.84,5,8212799.44
20240821,19894559.55,5,8213614.20
20240822,19818728.15,5,8214429.04
20240823,19726099.64,4,9807790.63
20240826,19710392.08,3,11775137.74
20240827,19826690.36,3,11776305.91
20240828,19815703.49,3,11777474.19
20240829,19730235.42,3,11778642.59
20240830,19739497.50,3,11779811.11
20240902,19749646.92,3,11780979.74
20240903,19626810.56,5,7781751.67
20240904,19626587.98,5,7782523.66
20240905,19611259.34,5,7783295.74
20240906,19370387.90,5,7784067.89
20240909,19320276.95,5,7784840.12
20240910,19221351.23,5,7785612.43
20240911,19068279.83,5,7786384.81
20240912,19109156.19,5,7787157.27
20240913,19099554.18,5,7787929.80
20240918,19049749.00,5,7788702.42
20240919,19100967.63,5,7789475.10
20240920,19065183.67,5,7790247.87
20240923,19212545.42,5,7791020.71
20240924,19674061.49,5,7791793.63
20240925,19747988.02,5,7792566.63
20240926,20002689.98,5,7793339.70
20240927,20312189.50,5,7794112.85
20240930,21183865.85,5,7794886.07
20241008,21579602.55,5,7795659.37
20241009,21106380.89,5,7796432.75
20241010,21315992.97,5,7797206.21
20241011,20859097.19,5,7797979.74
20241014,21134283.96,5,7798753.35
20241015,20963244.91,5,7799527.04
20241016,20988455.14,5,7800300.80
20241017,20939774.49,5,7801074.64
20241018,21456929.89,5,7801848.55
20241021,21803385.44,5,7802622.55
20241022,22043858.42,5,7803396.62
20241023,22316224.99,5,7804170.76
20241024,22413888.52,5,7804944.99
20241025,22381292.03,5,7805719.29
20241028,22552017.53,5,7806493.66
20241029,22207167.01,5,7807268.12
20241030,22158319.54,5,7808042.65
20241031,22223403.49,5,7808817.26
20241101,21997851.08,5,7809591.94
20241104,22299444.41,5,7810366.70
20241105,22605445.20,5,7811141.54
20241106,22321515.56,5,7811916.45
20241107,22519004.64,5,7812691.45
20241108,22549516.03,5,7813466.51
20241111,22759864.26,5,7814241.66
20241112,22733668.99,5,7815016.88
20241113,23065455.62,5,7815792.18
20241114,22976420.07,5,7816567.56
20241115,22571948.98,5,7817343.01
20241118,22275183.51,5,7818118.54
20241119,22377711.70,5,7818894.15
20241120,22471676.49,5,7819669.83
20241121,22562380.25,5,7820445.59
20241122,21929934.23,5,7821221.43
20241125,21679212.89,5,8988200.33
20241126,21433326.61,5,8989092.01
20241127,21762533.34,5,8989983.79
20241128,21642589.38,5,8990875.65
20241129,21702699.67,5,8991767.60
20241202,21729345.20,5,8992659.65
20241203,21826100.79,5,8993551.77
20241204,22004143.82,5,8994443.99
20241205,21933791.12,5,8995336.30
20241206,22161925.07,5,8996228.69
20241209,22233661.53,4,11217524.14
20241210,22070997.70,5,9218438.57
20241211,22134652.15,5,9219353.10
