date,equity,positions,cash
20240424,26085114.72,5,15950148.31
20240425,26092246.30,5,15951730.67
20240426,26446432.32,5,15953313.18
20240429,26683846.53,5,16528393.02
20240430,26458125.31,5,16530032.74
20240506,26678262.11,5,16531672.63
20240507,26553397.89,5,16533312.68
20240508,26306862.47,5,16534952.89
20240509,26518085.42,5,16536593.26
20240510,26392145.96,5,16538233.79
20240513,26263012.22,5,16539874.49
20240514,26272894.32,5,16541515.35
20240515,26165077.51,5,16543156.37
20240516,26248967.35,5,16544797.56
20240517,26392335.69,5,16546438.91
20240520,26533817.93,5,16548080.42
20240521,26508642.76,5,16549722.10
20240522,26539122.02,5,16551363.93
20240523,26263479.84,5,16553005.93
20240524,26002092.71,5,16554648.10
20240527,26222759.61,5,16556290.42
20240528,26079479.10,5,16557932.91
20240529,26058119.90,5,16559575.56
20240530,26222971.10,5,16561218.38
20240531,26213037.73,5,16245432.44
20240603,26321973.09,5,16247044.09
20240604,26466149.91,5,16248655.90
20240605,26438107.73,5,16250267.87
20240606,26565740.63,5,16251880.00
20240607,26498478.21,5,16253492.29
20240611,26766025.94,5,16255104.74
20240612,26707117.84,5,16256717.35
20240613,26574632.46,5,16258330.12
20240614,26462206.55,5,16259943.05
20240617,26525802.34,5,16261556.14
20240618,26490522.79,5,16263169.39
20240619,26586330.57,5,16264782.80
20240620,26548303.32,5,16266396.37
20240621,26507277.01,5,16268010.10
20240624,26338291.09,5,16269623.99
20240625,26123708.34,5,16271238.04
20240626,26385270.40,5,16272852.25
20240627,26116785.64,5,16274466.62
20240628,26159277.29,5,16276081.15
20240701,26225859.29,5,16277695.84
20240702,25969829.59,5,16015639.66
20240703,26021656.66,5,16017228.51
20240704,26018402.89,5,16018817.52
20240705,26051393.30,5,16020406.69
20240708,26156593.73,5,16021996.01
20240709,26625007.12,5,16023585.50
20240710,26836414.27,5,16025175.14
20240711,27013183.24,5,16026764.94
20240712,27035844.57,5,16028354.89
20240715,27131149.37,5,16029945.01
20240716,27519004.47,5,16031535.28
20240717,27108354.22,5,16033125.71
20240718,27075584.96,5,16034716.30
20240719,26995924.53,5,16036307.05
20240722,27032264.67,5,16037897.95
20240723,26501345.92,5,16039489.01
20240724,26404701.60,5,16041080.23
20240725,26237879.30,5,16042671.61
20240726,26385488.50,5,16044263.14
20240729,26353090.10,5,16045854.83
20240730,26386855.13,5,16047446.68
20240731,26644283.74,5,16676678.45
20240801,26652022.07,5,16678332.88
20240802,26413699.04,5,16679987.48
20240805,25943596.71,5,16681642.24
20240806,26214870.70,5,16683297.17
20240807,26107667.79,5,16684952.26
20240808,26160937.03,5,16686607.51
20240809,26045460.36,5,16688262.93
