K,LB,Trail,Pos,Sec,Floor,S,R,CAGR,MDD,CM,Trd,Win,Neg
0.5,30,0.28,8,3,0.8,1.6453999707863363,322.7798753275463,83.03344666719599,23.762954787751404,3.494239138560139,195,57.948717948717956,0
2.0,30,0.28,8,1,0.8,1.6410030381521883,374.9484768292787,92.18463587998342,37.023107905481325,2.489921594786897,198,49.494949494949495,0
2.0,30,0.3,8,3,0,1.6379883075688169,372.4252355590306,91.75586203225588,36.35992579924791,2.523543709601129,198,51.010101010101,0
0.5,21,0.3,8,3,0,1.637557571992925,363.5457520143519,90.23630646354299,25.186977809884787,3.582657162945893,198,58.58585858585859,0
0.5,21,0.3,8,3,0.8,1.637557571992925,363.5457520143519,90.23630646354299,25.186977809884787,3.582657162945893,198,58.58585858585859,0
0.5,21,0.18,8,3,0,1.6371266329044143,336.49688762591705,85.50039647313798,24.556333318461768,3.4818063171042595,204,55.88235294117647,0
0.5,21,0.18,8,3,0.8,1.6371266329044143,336.49688762591705,85.50039647313798,24.556333318461768,3.4818063171042595,204,55.88235294117647,0
2.0,30,0.35,8,3,0.8,1.63305469003148,371.6948688494923,91.63150290656415,36.76699773517241,2.4922215179649196,198,50.505050505050505,0
0.5,30,0.35,5,3,0,1.6320289726375015,477.6029813908712,108.61815754213806,32.467967754252285,3.3453944011605867,126,57.14285714285714,0
0.5,30,0.35,5,3,0.8,1.6320289726375015,477.6029813908712,108.61815754213806,32.467967754252285,3.3453944011605867,126,57.14285714285714,0
0.5,21,0.28,8,3,0,1.6319100356972287,359.91216605062306,89.60961509449703,24.864034590004298,3.603985297322639,199,58.291457286432156,0
0.5,21,0.28,8,3,0.8,1.6319100356972287,359.91216605062306,89.60961509449703,24.864034590004298,3.603985297322639,199,58.291457286432156,0
0.5,21,0.22,8,1,0,1.6309800492326403,341.37046130204817,86.36603257172999,24.280668546120733,3.556987420164281,204,58.333333333333336,0
0.5,21,0.22,8,1,0.8,1.6309800492326403,341.37046130204817,86.36603257172999,24.280668546120733,3.556987420164281,204,58.333333333333336,0
1.0,10,0.22,5,1,0,1.6273012752880434,423.28613982531067,100.15580814675573,31.732188073878103,3.1562843354380554,136,52.20588235294118,0
1.0,10,0.22,5,1,0.8,1.6273012752880434,423.28613982531067,100.15580814675573,31.732188073878103,3.1562843354380554,136,52.20588235294118,0
2.0,30,0.3,8,1,0.8,1.6214748631900375,366.70568478056157,90.77899088004801,36.6721252942659,2.4754221401572907,197,49.746192893401016,0
2.0,30,0.22,8,1,0,1.615867319970612,354.7744522722506,88.71857731319767,36.216187848454204,2.44969397895876,202,50.0,0
2.0,30,0.18,8,3,0.8,1.6105547963049571,329.68388317606696,84.28082169622135,34.84652375907225,2.4186292520578596,204,48.03921568627451,0
0.5,21,0.35,8,1,0,1.6081087286121898,342.542032764445,86.57329661949058,26.5880507227226,3.256097918660264,199,59.2964824120603,0
0.5,21,0.35,8,1,0.8,1.6081087286121898,342.542032764445,86.57329661949058,26.5880507227226,3.256097918660264,199,59.2964824120603,0
2.0,30,0.35,8,3,0,1.606656016440727,358.48799983941075,89.36320236439477,36.76699773517241,2.4305275891185225,198,51.010101010101,0
1.0,10,0.35,5,3,0,1.6063892469658794,428.97805110142906,101.06582037175329,31.264806723259863,3.2325746090911878,135,52.59259259259259,0
1.0,10,0.35,5,3,0.8,1.6063892469658794,428.97805110142906,101.06582037175329,31.264806723259863,3.2325746090911878,135,52.59259259259259,0
