date,equity,cash,positions
20231222,24561704.57,12773648.81,4
20231225,24672632.87,12774916.04,4
20240110,24434643.94,12776183.39,4
20240111,24304475.20,12777450.87,4
20240112,24368181.06,12778718.47,4
20240115,24381992.24,12779986.20,4
20240116,24426974.90,12781254.06,4
20240117,24081634.68,12782522.04,4
20240118,24161608.51,12783790.15,4
20240119,24210511.97,12785058.38,4
20240122,24006193.59,12786326.74,4
20240123,23977729.65,12787595.22,4
20240124,24167745.28,12788863.84,4
20240125,24235923.02,12790132.57,4
20240126,24289631.57,14651672.69,3
20240129,24361995.33,12152878.21,4
20240130,24231770.73,12154083.86,4
20240131,24155084.37,12155289.62,4
20240201,24137395.17,12156495.50,4
20240202,24010012.64,12157701.50,4
20240205,24201390.51,12158907.62,4
20240206,24334386.03,12160113.86,4
20240207,24399166.38,12161320.22,4
20240208,24482649.03,12162526.71,4
20240219,24842476.28,12163733.30,4
20240220,24982871.36,12164940.02,4
20240221,25028410.06,12166146.86,4
20240222,25183455.92,12167353.82,4
20240223,25363738.72,12168560.90,4
20240226,25019585.78,12169768.10,4
20240227,25105486.98,12170975.42,4
20240228,25012610.69,12172182.86,4
20240229,25106155.12,12173390.41,4
20240301,25215194.97,12174598.09,4
20240304,25313655.03,12175805.89,4
20240305,25603506.08,12177013.81,4
20240306,25628748.79,12178221.84,4
20240307,25792757.72,12179430.00,4
20240308,25935991.98,12180638.28,4
20240311,25941940.32,12181846.67,4
20240312,25447773.04,12183055.19,4
20240313,25562007.85,12184263.83,4
20240314,25759419.29,12185472.58,4
20240315,26022791.81,12186681.46,4
20240318,25968365.31,12187890.46,4
20240319,25954775.40,12189099.57,4
20240327,25877802.31,12190308.81,4
20240328,26110880.16,12191518.16,4
20240329,26477381.55,12192727.64,4
20240401,26524441.60,12193937.24,4
20240402,26491954.11,12195146.95,4
20240403,26530311.04,12196356.79,4
20240408,26550802.43,12197566.74,4
20240409,26388964.87,12198776.82,4
20240410,26725934.40,12199987.02,4
20240411,26721023.41,12201197.33,4
20240412,26892867.50,12202407.77,4
20240415,27049602.61,12203618.32,4
20240416,26824242.12,12204829.00,4
20240417,27033186.90,12206039.80,4
20240418,27152413.88,12207250.71,4
20240419,27199937.88,12208461.75,4
20240422,26871351.65,12209672.91,4
20240423,26591231.57,12210884.19,4
20240424,26816092.04,12212095.58,4
20240425,26726986.31,12213307.10,4
20240426,27025716.00,12214518.74,4
20240429,26839178.36,12215730.50,4
20240430,26675469.18,12216942.37,4
20240506,26618415.47,12218154.37,4
20240507,26572405.44,12219366.49,4
20240508,26494801.40,12220578.73,4
20240509,26608856.49,12221791.09,4
20240510,26785399.48,12223003.57,4
20240513,26986825.95,12224216.17,4
20240514,26985288.74,12225428.89,4
20240515,26873646.58,12226641.73,4
20240516,26898816.31,12227854.69,4
20240517,27166076.79,12229067.77,4
20240520,27393481.17,12230280.97,4
20240521,27101739.90,12231494.29,4
20240522,27033989.49,12232707.73,4
20240523,26793891.64,12233921.29,4
20240524,26750632.61,12235134.98,4
20240527,26915049.45,12236348.78,4
20240528,26885310.52,12237562.70,4
20240529,26994973.44,12238776.75,4
20240530,26708407.23,12239990.91,4
20240531,26637670.28,12241205.20,4
20240603,26714677.73,12242419.60,4
20240604,26770349.03,12243634.13,4
20240605,26684527.83,12244848.77,4
20240606,26798051.28,12246063.54,4
20240607,26942104.78,12247278.43,4
20240611,26697886.89,12248493.44,4
20240612,26774758.79,12249708.56,4
20240613,26708861.11,12250923.81,4
20240614,26784297.08,12252139.18,4
20240617,26731195.44,12253354.67,4
20240618,26743242.91,12254570.28,4
20240619,26924906.33,12255786.01,4
20240620,26994918.28,12257001.87,4
20240621,26903003.95,12258217.84,4
20240624,27030182.43,12259433.93,4
20240625,26909036.98,12260650.15,4
20240626,27006675.44,12261866.48,4
20240627,26904548.44,12263082.93,4
20240628,27190474.68,12264299.51,4
20240701,27469861.35,12265516.21,4
20240702,27487205.42,12266733.02,4
20240703,27396117.57,12267949.96,4
20240704,27516518.29,12269167.02,4
20240705,27591078.19,12270384.20,4
20240708,27605440.79,12271601.50,4
20240709,27944392.01,12272818.92,4
20240710,27781416.74,12274036.46,4
20240711,27937034.85,12275254.12,4
20240712,27862056.05,12276471.91,4
20240715,28116479.54,12277689.81,4
20240716,28295877.23,12278907.84,4
20240717,28031901.95,12280125.98,4
20240718,28086432.67,12281344.25,4
20240719,27931951.37,12282562.64,4
20240722,27737846.06,12283781.14,4
20240723,27506332.83,12284999.77,4
20240724,27578337.57,12286218.52,4
20240725,27199523.22,12287437.39,4
20240726,27188286.02,12288656.39,4
20240729,27323594.03,12289875.50,4
20240730,27267294.50,12291094.73,4
20240731,27419001.22,12292314.09,4
20240801,27492522.39,12293533.56,4
20240802,27230263.46,12294753.16,4
20240805,27000925.66,12295972.88,4
20240806,26808807.22,12297192.71,4
20240807,27133072.81,12298412.67,4
20240808,27073237.20,12299632.76,4
20240809,27184539.95,12300852.96,4
20240812,27149452.99,12302073.28,4
20240813,27174699.98,12303293.72,4
20240814,27157577.27,12304514.29,4
20240815,27304800.56,12305734.97,4
20240816,27397348.86,12306955.78,4
20240819,27634500.73,12308176.71,4
20240820,27621972.39,12309397.76,4
20240821,27585854.28,12310618.93,4
20240822,27697784.08,12311840.22,4
20240823,27684830.63,12313061.63,4
20240826,27724572.58,12314283.17,4
20240827,27734128.27,12315504.82,4
20240828,27636450.83,12316726.60,4
20240829,27425984.94,12317948.50,4
20240830,27296527.95,12319170.51,4
20240902,27123190.00,12320392.65,4
20240903,26897373.29,12321614.92,4
20240904,26604077.61,12322837.30,4
20240905,26554042.08,12324059.80,4
20240906,26548611.91,12325282.43,4
20240909,26342637.79,12326505.17,4
20240910,26415232.43,12327728.04,4
20240911,26132814.00,12328951.03,4
20240912,26130681.82,12330174.14,4
20240913,26341961.39,12331397.37,4
20240918,26549951.36,12332620.72,4
20240919,26676704.85,12333844.20,4
20240920,26827419.93,12335067.79,4
20240923,26852364.50,12336291.51,4
20240924,27428759.38,12337515.35,4
20240925,27640173.89,12338739.31,4
20240926,28005609.12,12339963.39,4
20240927,27978053.61,12341187.59,4
20240930,28668960.32,12342411.92,4
20241008,28706887.22,12343636.36,4
20241009,27961911.41,12344860.93,4
20241010,28376107.57,12346085.62,4
20241011,28221237.95,12347310.43,4
20241014,28591553.74,12348535.36,4
20241015,28125184.34,12349760.41,4
20241016,28262865.60,12350985.59,4
20241017,28033546.13,12352210.88,4
20241018,28346873.79,12353436.30,4
20241021,28376042.92,12354661.84,4
20241022,28358328.94,12355887.50,4
20241023,28337424.93,12357113.29,4
20241024,28243148.18,12358339.19,4
20241025,28120736.72,12359565.21,4
20241028,28049891.06,12360791.36,4
20241029,28037532.32,12362017.63,4
20241030,27965044.31,12363244.02,4
20241031,27947409.76,12364470.53,4
20241101,28101765.85,12365697.17,4
20241104,28209601.90,12366923.92,4
20241105,28407951.92,12368150.80,4
20241106,28156476.85,12369377.80,4
20241107,28191665.88,12370604.92,4
20241108,28196025.57,12371832.16,4
20241111,28092605.09,12373059.53,4
20241112,27712921.89,12374287.01,4
20241113,27832112.15,12375514.62,4
20241114,27662834.39,12376742.35,4
20241115,27540185.01,12377970.20,4
20241118,27712472.31,12379198.18,4
20241119,27884883.53,12380426.27,4
20241120,27844134.11,12381654.49,4
20241121,27865643.80,12382882.83,4
20241122,27531486.53,12384111.29,4
20241125,27569141.04,12385339.87,4
20241126,27556290.42,12386568.57,4
20241127,27758410.94,12387797.40,4
20241128,27658296.92,12389026.35,4
