序号,代码,名称,买入日,卖出日,买价,卖价,收益率%,盈亏金额,持仓天数,牛熊,池模式,峰值价,退出类型,触发详情
90,159992,创新药ETF,2024-08-09,2024-08-16,0.6313,0.6317,0.05,6205.0,7,熊,all,0.638,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0017<0 (动能走弱)"
91,513100,纳指ETF,2024-08-19,2024-08-30,1.4428,1.4162,-1.84,-236397.0,11,熊,all,1.471,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0013<0 (动能走弱)"
92,159915,创业板ETF,2024-10-09,2024-10-11,2.2432,2.0589,-8.22,-1035495.0,2,熊,all,2.242,Trail止损6%,价格2.060≤peak×(1-6%)=2.107
93,510050,上证50ETF,2024-10-11,2024-10-17,2.6605,2.5756,-3.19,-368929.0,6,牛,def,2.692,Trail止损3%,价格2.577≤peak×(1-3%)=2.611
94,588200,科创芯片ETF,2024-10-17,2024-10-23,0.4082,0.4597,12.62,1412903.0,6,牛,all,0.478,Trail止损3%,价格0.460≤peak×(1-3%)=0.464
95,512480,半导体ETF,2024-10-23,2024-11-01,0.4883,0.4717,-3.39,-426771.0,9,牛,all,0.493,Trail止损3%,价格0.472≤peak×(1-3%)=0.478
96,159995,芯片ETF,2024-11-01,2024-11-04,0.5723,0.5807,1.46,178055.0,3,牛,all,0.581,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0023<0 (动能走弱)"
97,513100,纳指ETF,2024-11-04,2024-11-05,1.4438,1.4372,-0.46,-56364.0,1,牛,all,1.443,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0012<0 (动能走弱)"
98,515880,通信ETF,2024-11-06,2024-11-14,0.2361,0.2409,2.01,246835.0,8,牛,all,0.252,Trail止损3%,价格0.241≤peak×(1-3%)=0.244
99,159995,芯片ETF,2024-11-14,2024-11-15,0.6394,0.6107,-4.49,-563087.0,1,牛,all,0.639,Trail止损3%,价格0.611≤peak×(1-3%)=0.620
100,588890,科创AIETF,2024-11-15,2024-11-20,1.6009,1.6261,1.58,188869.0,5,牛,all,1.635,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0019<0 (动能走弱)"
101,518880,华安黄金ETF,2024-11-26,2024-12-05,5.8472,5.9237,1.31,159344.0,9,牛,all,5.931,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0004<0 (动能走弱)"
102,588890,科创AIETF,2024-12-05,2024-12-13,1.6329,1.6191,-0.84,-104156.0,8,牛,all,1.65,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0002<0 (动能走弱)"
103,513180,恒生科技ETF,2024-12-13,2024-12-23,0.6183,0.6137,-0.76,-92520.0,10,牛,all,0.618,趋势全空,MA6<MA15 且 MA8斜率=-0.0004<0
104,515050,5G通信ETF,2024-12-23,2024-12-31,0.3832,0.3798,-0.89,-108314.0,8,牛,all,0.404,Trail止损3%,价格0.380≤peak×(1-3%)=0.392
105,159995,芯片ETF,2024-12-31,2025-01-02,0.6133,0.5847,-4.67,-562093.0,2,牛,all,0.613,Trail止损3%,价格0.585≤peak×(1-3%)=0.595
106,159995,芯片ETF,2025-01-02,2025-01-06,0.5853,0.5707,-2.5,-286740.0,4,牛,all,0.585,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0059<0 (动能走弱)"
107,510880,红利ETF,2025-01-06,2025-01-07,2.9646,2.9474,-0.58,-65062.0,1,牛,all,2.963,趋势全空,MA6<MA15 且 MA8斜率=-0.0011<0
108,159509,纳指科技ETF,2025-01-09,2025-01-13,1.6369,1.5841,-3.22,-358353.0,4,牛,all,1.636,Trail止损3%,价格1.585≤peak×(1-3%)=1.587
109,159509,纳指科技ETF,2025-01-13,2025-01-14,1.5859,1.6101,1.53,164439.0,1,牛,all,1.611,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0003<0 (动能走弱)"
110,512480,半导体ETF,2025-01-20,2025-03-03,0.5053,0.5467,8.2,895334.0,42,熊,all,0.586,Trail止损6%,价格0.547≤peak×(1-6%)=0.551
111,588890,科创AIETF,2025-03-03,2025-03-12,1.792,1.879,4.85,573586.0,9,牛,all,1.925,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0018<0 (动能走弱)"
112,513050,中概互联ETF,2025-03-12,2025-03-20,1.4938,1.5302,2.43,301399.0,8,牛,all,1.595,Trail止损3%,价格1.531≤peak×(1-3%)=1.547
113,513050,中概互联ETF,2025-03-20,2025-03-25,1.5318,1.4712,-3.96,-502527.0,5,牛,all,1.531,Trail止损3%,价格1.472≤peak×(1-3%)=1.485
